0.00000000e+000	3.07277484e-001	
2.81301154e-001	3.07273517e-001	
5.62602308e-001	3.07492634e-001	
8.43903462e-001	3.07447580e-001	
1.12520462e+000	3.09421796e-001	
1.40650577e+000	3.10488902e-001	
1.68780692e+000	3.11248136e-001	
1.96910808e+000	3.13488860e-001	
2.25040923e+000	3.20121461e-001	
2.53171039e+000	3.29513220e-001	
2.81301154e+000	3.40889838e-001	
3.09431269e+000	3.58011578e-001	
3.37561385e+000	3.80486317e-001	
3.65691500e+000	4.14447999e-001	
3.93821616e+000	4.53073879e-001	
4.21951731e+000	4.91699760e-001	
4.50081846e+000	5.32484013e-001	
4.78211962e+000	5.75041227e-001	
5.06342077e+000	6.26330784e-001	
5.34472193e+000	6.84229873e-001	
5.62602308e+000	7.15671398e-001	
5.90732423e+000	7.41762195e-001	
6.18862539e+000	7.70055708e-001	
6.46992654e+000	7.82991965e-001	
6.75122770e+000	7.87597758e-001	
7.03252885e+000	7.89287713e-001	
7.31383000e+000	7.89896838e-001	
7.59513116e+000	7.91482979e-001	
7.87643231e+000	7.92334951e-001	
8.15773347e+000	7.92223835e-001	
8.43903462e+000	7.92112719e-001	
8.72033577e+000	7.92300137e-001	
9.00163693e+000	7.92092985e-001	
9.28293808e+000	7.91157772e-001	
9.56423924e+000	7.90462205e-001	
9.84554039e+000	7.89124100e-001	
1.01268415e+001	7.85403479e-001	
1.04081427e+001	7.81691403e-001	
1.06894439e+001	7.77338308e-001	
1.09707450e+001	7.67100555e-001	
1.12520462e+001	7.50381836e-001	
1.15333473e+001	7.41305671e-001	
1.18146485e+001	7.49600258e-001	
1.20959496e+001	7.57828715e-001	
1.23772508e+001	7.74265188e-001	
1.26585519e+001	8.12425094e-001	
1.29398531e+001	8.38682300e-001	
1.32211542e+001	8.68283326e-001	
1.35024554e+001	9.06767125e-001	
1.37837565e+001	9.56807814e-001	
1.40650577e+001	9.92888344e-001	
1.43463589e+001	1.02138928e+000	
1.46276600e+001	1.04472605e+000	
1.49089612e+001	1.06058164e+000	
1.51902623e+001	1.07031514e+000	
1.54715635e+001	1.07131959e+000	
1.57528646e+001	1.07596052e+000	
1.60341658e+001	1.07792655e+000	
1.63154669e+001	1.07853468e+000	
1.65967681e+001	1.07898228e+000	
1.68780692e+001	1.07901735e+000	
1.71593704e+001	1.07880798e+000	
1.74406715e+001	1.07878396e+000	
1.77219727e+001	1.07762984e+000	
1.80032739e+001	1.07119400e+000	
1.82845750e+001	1.07071232e+000	
1.85658762e+001	1.06597679e+000	
1.88471773e+001	1.05333287e+000	
1.91284785e+001	1.03552839e+000	
1.94097796e+001	1.00524040e+000	
1.96910808e+001	9.73172850e-001	
1.99723819e+001	9.40394155e-001	
2.02536831e+001	9.16333876e-001	
2.05349842e+001	8.96613679e-001	
2.08162854e+001	8.84832083e-001	
2.10975865e+001	8.89187602e-001	
2.13788877e+001	8.95063844e-001	
2.16601889e+001	9.02726422e-001	
2.19414900e+001	9.27886081e-001	
2.22227912e+001	9.71596807e-001	
2.25040923e+001	9.92908398e-001	
2.27853935e+001	1.01627958e+000	
2.30666946e+001	1.03328305e+000	
2.33479958e+001	1.04584300e+000	
2.36292969e+001	1.05069222e+000	
2.39105981e+001	1.05036029e+000	
2.41918992e+001	1.05488397e+000	
2.44732004e+001	1.05475653e+000	
2.47545016e+001	1.05441331e+000	
2.50358027e+001	1.05452569e+000	
2.53171039e+001	1.05489363e+000	
2.55984050e+001	1.05434743e+000	
2.58797062e+001	1.05554213e+000	
2.61610073e+001	1.05260793e+000	
2.64423085e+001	1.05081956e+000	
2.67236096e+001	1.05072841e+000	
2.70049108e+001	1.04203482e+000	
2.72862119e+001	1.02159859e+000	
2.75675131e+001	1.00116235e+000	
2.78488142e+001	9.72798211e-001	
2.81301154e+001	9.27573991e-001	
2.84114166e+001	8.82349771e-001	
2.86927177e+001	8.35767812e-001	
2.89740189e+001	7.95990353e-001	
2.92553200e+001	7.67453608e-001	
2.95366212e+001	7.43086631e-001	
2.98179223e+001	7.40272875e-001	
3.00992235e+001	7.36646265e-001	
3.03805246e+001	7.38894076e-001	
3.06618258e+001	7.48698225e-001	
3.09431269e+001	7.63764276e-001	
3.12244281e+001	7.72612670e-001	
3.15057292e+001	7.80929722e-001	
3.17870304e+001	7.85918296e-001	
3.20683316e+001	7.90411659e-001	
3.23496327e+001	7.90946935e-001	
3.26309339e+001	7.91343164e-001	
3.29122350e+001	7.92021738e-001	
3.31935362e+001	7.92821181e-001	
3.34748373e+001	7.93372783e-001	
3.37561385e+001	7.93728719e-001	
3.40374396e+001	7.94294741e-001	
3.43187408e+001	7.94854370e-001	
3.46000419e+001	7.90623925e-001	
3.48813431e+001	7.90239847e-001	
3.51626442e+001	7.90479930e-001	
3.54439454e+001	7.85183954e-001	
3.57252466e+001	7.71331748e-001	
3.60065477e+001	7.49879857e-001	
3.62878489e+001	7.22981336e-001	
3.65691500e+001	6.80543950e-001	
3.68504512e+001	6.36505428e-001	
3.71317523e+001	5.80904753e-001	
3.74130535e+001	5.28448441e-001	
3.76943546e+001	4.86327665e-001	
3.79756558e+001	4.41671235e-001	
3.82569569e+001	4.03331054e-001	
3.85382581e+001	3.72394763e-001	
3.88195592e+001	3.44877846e-001	
3.91008604e+001	3.21945914e-001	
3.93821616e+001	3.10015874e-001	
3.96634627e+001	2.97427759e-001	
3.99447639e+001	2.98150022e-001	
4.02260650e+001	2.97508672e-001	
4.05073662e+001	2.98739087e-001	
4.07886673e+001	2.99591482e-001	
4.10699685e+001	2.96296796e-001	
